,rayon principal,lien rayon,sous rayon,lien sous rayon
0,Jouetsjeuxvidéoloisirs,https://www.auchan.fr/jouets-jeux-video-loisirs/ca-101042021,N/A,N/A
1,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400
2,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,VinschampagnesbiÃ¨resalcools,https://www.auchan.fr/au-coeur-de-noel/vins-champagnes-bieres-alcools/ca-b202110181737
3,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,Chocolatsdefind'annÃ©e,https://www.auchan.fr/au-coeur-de-noel/chocolats-de-fin-d-annee/ca-b202011041104
4,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,MaisondeNoÃ«l,https://www.auchan.fr/au-coeur-de-noel/maison-de-noel/ca-b202110181741
5,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,IdÃ©escadeaux,https://www.auchan.fr/au-coeur-de-noel/idees-cadeaux/ca-13224333
6,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,CrÃ¨merieoeufslaitsboissonsvÃ©gÃ©tales,https://www.auchan.fr/oeufs-produits-laitiers/cremerie-oeufs-laits/ca-n0101
7,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,Yaourtsfromagesblancs,https://www.auchan.fr/oeufs-produits-laitiers/yaourts-fromages-blancs/ca-n0102
8,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,Dessertscompotes,https://www.auchan.fr/oeufs-produits-laitiers/desserts-compotes/ca-n0103
9,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,FromagesÃ dÃ©gusterÃ lacoupe,https://www.auchan.fr/oeufs-produits-laitiers/fromages-a-deguster-a-la-coupe/ca-n0108
10,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,FromagesÃ cuisinerapÃ©ritifsrÃ¢pÃ©s,https://www.auchan.fr/oeufs-produits-laitiers/fromages-a-cuisiner-aperitifs-rapes/ca-n0106
11,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,Boucherievolaillepoissonbioetlabel,https://www.auchan.fr/boucherie-volaille-poissonnerie/boucherie-volaille-poisson-bio-et-label/ca-n0207
12,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,Volaillelapin,https://www.auchan.fr/boucherie-volaille-poissonnerie/volaille-lapin/ca-n0202
13,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,Boucherie,https://www.auchan.fr/boucherie-volaille-poissonnerie/boucherie/ca-n0201
14,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,PoissonscrustacÃ©s,https://www.auchan.fr/boucherie-volaille-poissonnerie/poissons-crustaces/ca-n0203
15,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,Traiteurdelamer,https://www.auchan.fr/boucherie-volaille-poissonnerie/traiteur-de-la-mer/ca-n0204
16,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,Charcuterie,https://www.auchan.fr/charcuterie-traiteur-pain/charcuterie/ca-n1201
17,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,Traiteur,https://www.auchan.fr/charcuterie-traiteur-pain/traiteur/ca-n1202
18,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,SnackingsaladeplatscuisinÃ©s,https://www.auchan.fr/charcuterie-traiteur-pain/snacking-salade-plats-cuisines/ca-n1204
19,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,TraiteurvÃ©gÃ©tal,https://www.auchan.fr/charcuterie-traiteur-pain/traiteur-vegetal/ca-n120201
20,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,PainpÃ¢tisserie,https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203
21,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,FruitslÃ©gumesbio,https://www.auchan.fr/fruits-legumes/fruits-legumes-bio/ca-n0307
22,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,Fruits,https://www.auchan.fr/fruits-legumes/fruits/ca-n0301
23,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,LÃ©gumes,https://www.auchan.fr/fruits-legumes/legumes/ca-n0302
24,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,FruitslÃ©gumesprÃªtÃ consommer,https://www.auchan.fr/fruits-legumes/fruits-legumes-pret-a-consommer/ca-n0304
25,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,Jusdefruitsfraisgazpacho,https://www.auchan.fr/fruits-legumes/jus-de-fruits-frais-gazpacho/ca-n0305
26,Surgelés,https://www.auchan.fr/surgeles/ca-n04,N/A,N/A
27,Epiceriesucrée,https://www.auchan.fr/epicerie-sucree/ca-n05,CafÃ©s,https://www.auchan.fr/epicerie-sucree/cafes/ca-n0502
28,Epiceriesucrée,https://www.auchan.fr/epicerie-sucree/ca-n05,PetitdÃ©jeunerthÃ©schocolatsenpoudre,https://www.auchan.fr/epicerie-sucree/petit-dejeuner-thes-chocolats-en-poudre/ca-n0503
29,Epiceriesucrée,https://www.auchan.fr/epicerie-sucree/ca-n05,BiscuitsgÃ¢teaux,https://www.auchan.fr/epicerie-sucree/biscuits-gateaux/ca-n0505
30,Epiceriesucrée,https://www.auchan.fr/epicerie-sucree/ca-n05,Chocolatsconfiseries,https://www.auchan.fr/epicerie-sucree/chocolats-confiseries/ca-n0507
31,Epiceriesucrée,https://www.auchan.fr/epicerie-sucree/ca-n05,DessertssucresfarinesdiÃ©tÃ©tique,https://www.auchan.fr/epicerie-sucree/desserts-sucres-farines-dietetique/ca-n0511
32,Epiceriesalée,https://www.auchan.fr/epicerie-salee/ca-n06,ApÃ©ritif,https://www.auchan.fr/epicerie-salee/aperitif/ca-n0601
33,Epiceriesalée,https://www.auchan.fr/epicerie-salee/ca-n06,Huilessaucesaidesculinaires,https://www.auchan.fr/epicerie-salee/huiles-sauces-aides-culinaires/ca-n0608
34,Epiceriesalée,https://www.auchan.fr/epicerie-salee/ca-n06,Conservessoupes,https://www.auchan.fr/epicerie-salee/conserves-soupes/ca-n0607
35,Epiceriesalée,https://www.auchan.fr/epicerie-salee/ca-n06,PÃ¢tesrizlÃ©gumessecs,https://www.auchan.fr/epicerie-salee/pates-riz-legumes-secs/ca-n0605
36,Epiceriesalée,https://www.auchan.fr/epicerie-salee/ca-n06,PlatscuisinÃ©sproduitsdumonde,https://www.auchan.fr/epicerie-salee/plats-cuisines-produits-du-monde/ca-n0606
37,Eauxjussodathésglacés,https://www.auchan.fr/boissons-sans-alcool/ca-n13,Eauxlaits,https://www.auchan.fr/boissons-sans-alcool/eaux-laits/ca-n0701
38,Eauxjussodathésglacés,https://www.auchan.fr/boissons-sans-alcool/ca-n13,JusdefruitsjusdelÃ©gumes,https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704
39,Eauxjussodathésglacés,https://www.auchan.fr/boissons-sans-alcool/ca-n13,ColasboissonsgazeusesÃ©nergisantes,https://www.auchan.fr/boissons-sans-alcool/colas-boissons-gazeuses-energisantes/ca-n0706
40,Eauxjussodathésglacés,https://www.auchan.fr/boissons-sans-alcool/ca-n13,ThÃ©sboissonsplatesauxfruitssirops,https://www.auchan.fr/boissons-sans-alcool/thes-boissons-plates-aux-fruits-sirops/ca-n0711
41,Eauxjussodathésglacés,https://www.auchan.fr/boissons-sans-alcool/ca-n13,BiÃ¨resvinsetapÃ©ritifssansalcool,https://www.auchan.fr/boissons-sans-alcool/bieres-vins-et-aperitifs-sans-alcool/ca-n071401
42,Vinsbièresalcools,https://www.auchan.fr/vins-bieres-alcool/ca-n07,BiÃ¨resfÃ»tscidres,https://www.auchan.fr/vins-bieres-alcool/bieres-futs-cidres/ca-n071201
43,Vinsbièresalcools,https://www.auchan.fr/vins-bieres-alcool/ca-n07,ApÃ©ritifsspiritueux,https://www.auchan.fr/vins-bieres-alcool/aperitifs-spiritueux/ca-n0707
44,Vinsbièresalcools,https://www.auchan.fr/vins-bieres-alcool/ca-n07,Vins,https://www.auchan.fr/vins-bieres-alcool/vins/ca-n0709
45,Vinsbièresalcools,https://www.auchan.fr/vins-bieres-alcool/ca-n07,Champagnesvinseffervescents,https://www.auchan.fr/vins-bieres-alcool/champagnes-vins-effervescents/ca-n0710
46,Vinsbièresalcools,https://www.auchan.fr/vins-bieres-alcool/ca-n07,LagrandecaveAuchan,https://www.auchan.fr/vins-bieres-alcool/la-grande-cave-auchan/ca-310320214125
47,Toutpourbébé,https://www.auchan.fr/bebe/ca-n08,Laitspetits-dÃ©jeunersdebÃ©bÃ©,https://www.auchan.fr/bebe/laits-petits-dejeuners-de-bebe/ca-n0801
48,Toutpourbébé,https://www.auchan.fr/bebe/ca-n08,RepasdessertsgoÃ»tersdebÃ©bÃ©,https://www.auchan.fr/bebe/repas-desserts-gouters-de-bebe/ca-n0802
49,Toutpourbébé,https://www.auchan.fr/bebe/ca-n08,CouchestoilettedebÃ©bÃ©,https://www.auchan.fr/bebe/couches-toilette-de-bebe/ca-n0806
50,Toutpourbébé,https://www.auchan.fr/bebe/ca-n08,PuÃ©riculturevÃªtementsbÃ©bÃ©,https://www.auchan.fr/bebe/puericulture-vetements-bebe/ca-31032021170201
51,Hygiènebeautéparapharmacie,https://www.auchan.fr/hygiene-beaute-parapharmacie/ca-n09,SoinsduvisagehygiÃ¨nedentairemaquillage,https://www.auchan.fr/hygiene-beaute-parapharmacie/soins-du-visage-hygiene-dentaire-maquillage/ca-n0904
52,Hygiènebeautéparapharmacie,https://www.auchan.fr/hygiene-beaute-parapharmacie/ca-n09,HygiÃ¨nesoinsducorps,https://www.auchan.fr/hygiene-beaute-parapharmacie/hygiene-soins-du-corps/ca-n0902
53,Hygiènebeautéparapharmacie,https://www.auchan.fr/hygiene-beaute-parapharmacie/ca-n09,Soinsdescheveux,https://www.auchan.fr/hygiene-beaute-parapharmacie/soins-des-cheveux/ca-n0903
54,Hygiènebeautéparapharmacie,https://www.auchan.fr/hygiene-beaute-parapharmacie/ca-n09,HygiÃ¨nesoinshomme,https://www.auchan.fr/hygiene-beaute-parapharmacie/hygiene-soins-homme/ca-n0908
55,Hygiènebeautéparapharmacie,https://www.auchan.fr/hygiene-beaute-parapharmacie/ca-n09,MouchoirsprotectionshygiÃ©niquespetiteparapharmacie,https://www.auchan.fr/hygiene-beaute-parapharmacie/mouchoirs-protections-hygieniques-petite-parapharmacie/ca-n0909
56,Entretienmaison,https://www.auchan.fr/entretien-maison/ca-n10,Papiertoiletteessuie-toutmouchoir,https://www.auchan.fr/entretien-maison/papier-toilette-essuie-tout-mouchoir/ca-n1002
57,Entretienmaison,https://www.auchan.fr/entretien-maison/ca-n10,Soindulinge,https://www.auchan.fr/entretien-maison/soin-du-linge/ca-n1003
58,Entretienmaison,https://www.auchan.fr/entretien-maison/ca-n10,Produitsdenettoyagevaisselle,https://www.auchan.fr/entretien-maison/produits-de-nettoyage-vaisselle/ca-n1004
59,Entretienmaison,https://www.auchan.fr/entretien-maison/ca-n10,AccessoiresmÃ©nagers,https://www.auchan.fr/entretien-maison/accessoires-menagers/ca-n1011
60,Entretienmaison,https://www.auchan.fr/entretien-maison/ca-n10,Bazar,https://www.auchan.fr/entretien-maison/bazar/ca-n21
61,Animalerie,https://www.auchan.fr/animalerie/ca-n11,Chat,https://www.auchan.fr/animalerie/chat/ca-n1101
62,Animalerie,https://www.auchan.fr/animalerie/ca-n11,Chien,https://www.auchan.fr/animalerie/chien/ca-n1102
63,Animalerie,https://www.auchan.fr/animalerie/ca-n11,Rongeursoiseauxpoissons,https://www.auchan.fr/animalerie/rongeurs-oiseaux-poissons/ca-n1103
64,Animalerie,https://www.auchan.fr/animalerie/ca-n11,Accessoiresanimalerie,https://www.auchan.fr/animalerie/accessoires-animalerie/ca-n1104
65,Produitsdumondeetdenosrégions,https://www.auchan.fr/produits-de-nos-regions-et-du-monde/ca-b08,N/A,N/A
66,Bioetécologique,https://www.auchan.fr/bio-et-ecolo/ca-b01,N/A,N/A
67,Snackingplatscuisinés,https://www.auchan.fr/snacking-plats-cuisines/ca-b12,N/A,N/A
68,Régimesalimentairesetnutrition,https://www.auchan.fr/regimes-alimentaires-et-nutrition/ca-b02,VÃ©gÃ©tarienvÃ©gÃ©tal,https://www.auchan.fr/regimes-alimentaires-et-nutrition/vegetarien-vegetal/ca-b0201
69,Régimesalimentairesetnutrition,https://www.auchan.fr/regimes-alimentaires-et-nutrition/ca-b02,RÃ©gimesalimentairesspÃ©cifiques,https://www.auchan.fr/regimes-alimentaires-et-nutrition/regimes-alimentaires-specifiques/ca-b0202
70,Régimesalimentairesetnutrition,https://www.auchan.fr/regimes-alimentaires-et-nutrition/ca-b02,Bien-ÃªtreminceurcomplÃ©mentsalimentaires,https://www.auchan.fr/regimes-alimentaires-et-nutrition/bien-etre-minceur-complements-alimentaires/ca-b0203
71,Jardinautobrico,https://www.auchan.fr/jardin-auto-brico/ca-2903202116100,N/A,N/A
72,High-techAudioTVtéléphonie,https://www.auchan.fr/high-tech-audio-tv-telephonie/ca-29032021170201,N/A,N/A
73,Electroménagercuisine,https://www.auchan.fr/electromenager-cuisine/ca-201612151000,N/A,N/A
74,Meubledécolingedemaison,https://www.auchan.fr/meuble-deco-linge-de-maison/ca-302202115,N/A,N/A
75,Modebijouxbagagerie,https://www.auchan.fr/mode-bijoux-bagagerie/ca-31032021153703,N/A,N/A
76,Nosmarques,https://www.auchan.fr/produits-auchan/ca-b202209131609,N/A,N/A
77,SAVservicesetvoyages,https://www.auchan.fr#,N/A,N/A
